x1,x2,x3,prediction,Layer
998.2327094603588,970.447341468401,1968.68005092876,1.0,Layer 2
959.88015909683,1012.2770150353648,1972.1571741321948,999.0,No Reaction
1005.7872935724126,950.18898632728,1955.9762798996928,1.0,Layer 2
1001.6274210161356,996.0906229767736,1997.7180439929089,1.0,Layer 2
971.4162868689344,1016.6676816492244,1988.083968518159,999.0,No Reaction
987.595727898254,1003.6892744127794,1991.2850023110327,999.0,No Reaction
988.00773585399,1001.561393734182,1989.569129588172,999.0,No Reaction
952.483927777872,1004.4493391859094,1956.9332669637813,999.0,No Reaction
989.928590256234,955.3613144042968,1945.2899046605307,0.0,Layer 1
1006.1203290691768,1007.058027039866,2013.1783561090424,1.0,Layer 2
967.1660558939004,968.325940078176,1935.4919959720764,0.0,Layer 1
963.162388001238,979.657342653844,1942.819730655082,0.0,Layer 1
968.172818458911,999.627269647798,1967.8000881067087,999.0,No Reaction
954.256195207822,994.1176759114536,1948.373871119276,1.0,Layer 2
976.1769294828666,1023.4784163212736,1999.65534580414,999.0,No Reaction
993.526843211983,985.0488940241736,1978.5757372361568,1.0,Layer 2
994.203742948179,989.3517049818046,1983.5554479299835,1.0,Layer 2
973.1378615610214,936.3894468683732,1909.527308429395,0.0,Layer 1
962.0919293010425,962.2388056490092,1924.3307349500517,0.0,Layer 1
976.3061243067476,963.0064513876948,1939.3125756944423,0.0,Layer 1
997.4832340073292,969.4663478206068,1966.949581827936,1.0,Layer 2
956.2111469664912,979.9585427110222,1936.1696896775131,0.0,Layer 1
969.561506277556,948.827750068996,1918.389256346552,0.0,Layer 1
982.3355573284188,1001.0557846532138,1983.3913419816329,999.0,No Reaction
976.655055351405,992.3952351162987,1969.050290467704,1.0,Layer 2
969.237268619142,969.2105501291225,1938.4478187482644,0.0,Layer 1
994.3958869291174,1003.15066603415,1997.5465529632677,999.0,No Reaction
980.9560060757748,961.0111946565748,1941.9672007323495,0.0,Layer 1
953.1039643777534,1020.7010160587988,1973.8049804365523,999.0,No Reaction
969.811191826818,968.8030118522862,1938.6142036791043,0.0,Layer 1
977.1738899827884,996.65524489689,1973.8291348796783,999.0,No Reaction
968.6684653517784,1019.3988808645612,1988.0673462163395,999.0,No Reaction
985.6980851302768,989.1302939027576,1974.8283790330345,1.0,Layer 2
959.0931089141488,997.6223128079488,1956.7154217220975,999.0,No Reaction
967.0248759838852,951.9995485617372,1919.0244245456224,0.0,Layer 1
1004.5101953662436,987.0271678390376,1991.537363205281,1.0,Layer 2
986.8528655283554,1000.6338749442384,1987.486740472594,999.0,No Reaction
1000.2914171915272,1012.1438551345318,2012.435272326059,999.0,No Reaction
946.06306333105,974.1643935937204,1920.2274569247704,0.0,Layer 1
968.436001499432,968.1505155241264,1936.5865170235584,0.0,Layer 1
964.637040248956,965.9318277097724,1930.5688679587283,0.0,Layer 1
970.9374291693804,991.7382252640696,1962.67565443345,999.0,No Reaction
963.8533694683586,952.0772650179003,1915.930634486259,0.0,Layer 1
989.4551978021196,973.5519074351624,1963.0071052372816,1.0,Layer 2
991.6383070402976,1012.2763329560664,2003.9146399963645,999.0,No Reaction
984.209698262497,975.13411076386,1959.343809026357,1.0,Layer 2
974.9728290271032,963.5103388952072,1938.4831679223105,0.0,Layer 1
963.5379496656442,957.3195225613948,1920.857472227039,0.0,Layer 1
941.8674038449708,990.6299769688952,1932.497380813866,0.0,Layer 1
969.6405251306386,983.485017472354,1953.1255426029925,1.0,Layer 2
970.1319823447952,980.1907931414272,1950.3227754862223,1.0,Layer 2
973.7282902397312,949.1002591567666,1922.8285493964977,0.0,Layer 1
950.154537195932,930.3431382181903,1880.4976754141223,0.0,Layer 1
980.239242027292,948.4633057656706,1928.7025477929628,0.0,Layer 1
985.6910388033874,992.6388146078828,1978.32985341127,1.0,Layer 2
1006.187185942552,1010.4798895201786,2016.6670754627305,999.0,No Reaction
979.5990085242094,968.8208066784574,1948.4198152026668,0.0,Layer 1
968.6638923547532,1027.673651038518,1996.337543393271,999.0,No Reaction
963.3747244578756,964.2645521389568,1927.6392765968328,0.0,Layer 1
971.4089784805162,1010.0890258369812,1981.4980043174971,999.0,No Reaction
993.4585463568328,972.5293752248218,1965.9879215816547,1.0,Layer 2
961.8144777808586,1004.6856562063416,1966.5001339872003,999.0,No Reaction
978.19609688305,974.9202111271088,1953.1163080101587,1.0,Layer 2
991.5877671683706,1025.069472198564,2016.6572393669344,999.0,No Reaction
988.8781860588874,979.9139509634014,1968.792137022289,1.0,Layer 2
1013.4675478740568,977.1891072940972,1990.656655168154,1.0,Layer 2
949.4519271898048,1007.2154355307008,1956.6673627205053,999.0,No Reaction
987.8879380045504,955.8270338373084,1943.7149718418584,0.0,Layer 1
984.4778510632452,1011.3664610200124,1995.8443120832576,999.0,No Reaction
975.0685394288976,990.2956739740672,1965.364213402965,1.0,Layer 2
990.6895479456556,996.0187205778278,1986.7082685234836,999.0,No Reaction
951.535115734462,983.872476481562,1935.407592216024,0.0,Layer 1
